"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_parametrized_test","","","","test_allure_parametrized_test [Second name]",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_links_test","","","","test_link_templates",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_description_test","","","","test_decorated_html_description",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_labels_test","","","","test_allure_custom_labels",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_step_test","","","","test_step",""
"skipped","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_status_test","","","","test_skipped",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_status_test","","","","test_xpass",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_parametrized_test","","","","test_allure_parametrized_test [First name]",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_links_test","","","","test_allure_dynamic_links",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_parametrized_test","","","","test_allure_parametrized_fixture[first]",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","1","test","allure_fixture_test","","","","test_allure_fixture_with_finalizer",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_description_test","","","","test_dynamic_description","
    Initial test description
    
 This is dynamic description part: 4"
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_fullname_test","","","","test_fullname",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_labels_test","","","","test_allure_severity",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_fixture_test","","","","test_with_fixture_title",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_fixture_test","","","","test_allure_yield_fixture",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","1","test","allure_parametrized_test","","","","test_allure_parametrized_fixture[second]",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","1","test","allure_labels_test","","","","test_owner",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","1","Custom parent suite","Custom suite","Custom sub suite","","","test_allure_suites",""
"skipped","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_status_test","","","","test_xfail",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_labels_test","","","","test_allure_bdd_labels",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_description_test","","","","test_docstring_description","
    This is a test docstring
    It's will be shown as an allure test description
    Scenario:
     - pass
    "
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_links_test","","","","test_allure_links",""
"broken","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_status_test","","","","test_broken",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_description_test","","","","test_decorated_description","
This is test description from decorator

Scenario:
  - pass
  "
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_labels_test","","","","test_dynamic_labels",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_labels_test","","","","test_allure_id",""
"failed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","1","test","allure_status_test","","","","test_failed",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_labels_test","","","","test_allure_tags",""
"passed","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","0","test","allure_status_test","","","","test_passed",""
"broken","Tue Jan 17 15:57:32 GMT 2023","Tue Jan 17 15:57:32 GMT 2023","1","test","allure_attachments_test","","","","test_attach",""
